"Title","Tomatometer","Fresh","Audience.score","Rating","Parental.Control","Genre1","Genre2","Genre3","Director","Production","DirectorIsWriter","Runtime","Release.Date","Release.Year","Release.Season","Release.isWide"
"Little White Lies",42,"No",64,"G","Yes","drama","comedy",NA,"GuillaumeCanet","CinéCinéma,Cofinova6,CaneoFilms,M6,LesProductionsduTrésor,LaCompagnieCinématographiqueEuropéenne,EuropacorpTelevision,PanacheProductions,EuropaCorp,M6Films,W9,Canal+","Yes",154,2012-08-24,"2012","summer","No"
"Yelling To The Sky",36,"No",46,"G","Yes","drama",NA,NA,"VictoriaMahoney","YTTSLLC","Yes",94,2016-05-19,"2016","spring",""
"Saving Grace B. Jones",14,"No",54,"R","No","drama","mysteryandthriller",NA,"ConnieStevens","ShaneProductions","No",115,2012-12-14,"2012","autumn","No"
"So Undercover",6,"No",49,"PG-13","No","action","comedy",NA,"TomVaughan","ExclusiveMedia","No",94,2017-05-17,"2017","spring",""
"Alex Cross",11,"No",47,"PG-13","No","action","mysteryandthriller",NA,"RobCohen","Block/Hanson,Emmett/FurlaFilms,JamesPattersonEntertainment","No",101,2012-10-19,"2012","autumn","Yes"
"Here Comes The Boom",41,"No",65,"PG","No","action","comedy",NA,"FrankCoraci","HeyEddie,HappyMadisonProductions,BrokenRoad","No",104,2012-10-12,"2012","autumn","Yes"
"You May Not Kiss The Bride",0,"No",33,"PG-13","No","adventure","action","romance","RobHedden","Luminair","Yes",100,2012-09-21,"2012","summer","No"
"Somewhere Between",88,"Yes",86,"G","Yes","documentary",NA,NA,"LindaGoldsteinKnowlton","LindaGoldsteinKnowlton",NA,94,2012-08-24,"2012","summer","No"
"The Pill",70,"Yes",56,"G","Yes","drama","comedy","romance","J.C.Khoury","ShootFirstEntertainment","Yes",83,2016-04-16,"2016","spring",""
"Girl Model",92,"Yes",55,"G","Yes","mysteryandthriller","documentary",NA,"DavidRedmon,AshleySabin","DavidRedmon,AshleySabin",NA,77,2012-09-05,"2012","summer","No"
"The Sessions",91,"Yes",80,"R","No","biography","drama","comedy","BenLewin","FoxSearchlight","Yes",95,2012-10-19,"2012","autumn","No"
"Robot & Frank",86,"Yes",75,"PG-13","No","scifi","drama","comedy","JakeSchreier","ParkPictures,DogRunPictures","No",90,2012-08-24,"2012","summer","No"
"Celeste And Jesse Forever",71,"Yes",62,"R","No","romance",NA,NA,"LeeTolandKrieger","EnvisionMediaArts,TeamTodd","No",90,2012-08-03,"2012","summer","No"
"Teddy Bear",94,"Yes",80,"G","Yes","drama",NA,NA,"MadsMatthiesen","SFFilmProduction","No",92,2016-10-15,"2016","autumn",""
"28 Hotel Rooms",47,"No",38,"G","Yes","drama",NA,NA,"MattRoss","SilverwoodFilms,SundialPictures","Yes",82,2016-08-10,"2016","summer",""
"Side By Side",93,"Yes",86,"G","Yes","documentary",NA,NA,"ChristopherKenneally","KeanuReeves,JustinSzlasa",NA,98,2012-08-17,"2012","summer","No"
"The Oogieloves In The Big Balloon Adventure",30,"No",63,"G","Yes","adventure","kidsandfamily","musical","MatthewDiamond","BigBalloonAdventureMovie,KennViselmanPresents","No",88,2012-08-29,"2012","summer","Yes"
"Planet Of Snail",100,"Yes",73,"G","Yes","drama","documentary",NA,"YiSeung-jun","NHK,FinnishFilmFoundation,Yleisradio",NA,87,2012-07-25,"2012","summer","No"
"Silent Hill: Revelation",10,"No",35,"R","No","horror","fantasy",NA,"M.J.Bassett","SilentHill2DCP,DavisFilms","Yes",95,2012-10-26,"2012","autumn","Yes"
"Deadfall",34,"No",37,"R","No","crime","mysteryandthriller","drama","StefanRuzowitzky","MagnoliaPictures,StudioCanal,MadhouseEntertainment","No",95,2012-12-07,"2012","autumn","No"
"Flight",78,"Yes",75,"R","No","mysteryandthriller","drama",NA,"RobertZemeckis","ImageMovers,Parkes/MacDonald","No",138,2012-11-02,"2012","autumn","Yes"
"Dangerous Liaisons",68,"Yes",54,"G","Yes","drama","romance",NA,"Jin-hoHur","ChenWeiming","No",105,2012-11-09,"2012","autumn","No"
"Smiley",18,"No",30,"R","No","horror","mysteryandthriller",NA,"MichaelJ.Gallagher","Level10Films","No",95,2012-10-12,"2012","autumn","No"
"Toys In The Attic (Na Pude)",73,"Yes",80,"G","Yes","fantasy","animation",NA,"JiriBarta","ContinentalFilms,BioIllusion,CeskoslovenskáTelevize,AtArmz,EurocineFilms","No",76,2014-04-15,"2014","spring",""
"A Late Quartet",76,"Yes",71,"R","No","drama",NA,NA,"YaronZilberman","OpeningNight","No",105,2012-11-02,"2012","autumn","No"
"The Thieves",67,"Yes",71,"G","Yes","action","crime","drama","Dong-hoonChoi","AhnSoo-Hyun,LeeJa-jun","No",136,2012-10-12,"2012","autumn","No"
"A Liar's Autobiography - The Untrue Story Of Monty Python's Graham Chapman",44,"No",46,"R","No","animation","comedy",NA,"BillJones,JeffSimpson,BenTimlett","BrainstormMedia",NA,85,2016-02-26,"2016","winter",""
"Allegiance",29,"No",41,"R","No","drama","mysteryandthriller",NA,"MichaelConnors","DarylFreimark,SeanMullin","Yes",91,2012-12-28,"2012","winter","No"
"Baggage Claim",15,"No",48,"PG-13","No","romance",NA,NA,"DavidE.Talbert","SneakPreviewEntertainment","Yes",96,2013-09-27,"2013","autumn","Yes"
"The Incubus",29,"No",22,"R","No","horror",NA,NA,"JohnHough","JohnM.EckertProductionsLtd.,MarkFilmsLtd.,KingsRoadProductionsLtd.",NA,92,2016-11-18,"2016","autumn",""
"Deadly Blessing",14,"No",28,"R","No","horror",NA,NA,"WesCraven","PolyGramFilmedEntertainment,InterPlanetary",NA,102,2016-10-11,"2016","autumn",""
"Hotel Transylvania",45,"No",72,"PG","No","fantasy","kidsandfamily","animation","GenndyTartakovsky","SonyPicturesAnimation","No",95,2012-09-28,"2012","autumn","Yes"
"Cherry Tree Lane",61,"Yes",25,"G","Yes","crime","drama","mysteryandthriller","PaulAndrewWilliams","SteelMillPictures","Yes",77,2016-08-10,"2016","summer",""
"The Cold Light Of Day",4,"No",29,"PG-13","No","action","mysteryandthriller",NA,"MabroukElMechri","SummitEntertainment,FilmRites,IntrepidPictures","No",93,2012-09-07,"2012","summer","Yes"
"Pina",95,"Yes",81,"PG","No","documentary",NA,NA,"WimWenders","EurowideFilmProduction,NeueRoadMovies","Yes",104,2012-01-20,"2012","winter","No"
