"Title","Tomatometer","Fresh","Audience.score","Rating","Parental.Control","Genre1","Genre2","Genre3","Director","Production","DirectorIsWriter","Runtime","Release.Date","Release.Year","Release.Season","Release.isWide"
"On The Rocks",86,"Yes",50,"R","No","comedy",NA,NA,"SofiaCoppola","A24,AmericanZoetrope","Yes",96,2020-10-02,"2020","autumn","No"
"Ryuichi Sakamoto: Coda",98,"Yes",85,"G","Yes","music","documentary",NA,"StephenSchible","AVROTROS,NHK",NA,101,2018-07-06,"2018","summer","No"
"Wolfman's Got Nards",100,"Yes",82,"G","Yes","horror","documentary",NA,"AndreGower","NicholasCaprio,SarbaDas,RitaDoumar,MatthewCharlesDucey,AndreGower,CarlenaGower,AaronKunkel","No",91,2020-10-27,"2020","autumn",""
"The Informer",62,"Yes",56,"R","No","crime","mysteryandthriller","drama","AndreaDiStefano","MaddemFilms,thefyzz,ImaginationParkEntertainment,ThunderRoadPictures","No",113,2020-11-06,"2020","autumn",""
"Terra Willy: Unexplored Planet (Astro Kid)",100,"Yes",75,"PG","No","animation","comedy","scifi","EricTosti","FranceTélévisions,Procirep,France3Cinéma,OCS,CentreNationalduCinémaetdeL'imageAnimée,AgenceNationaledeGestiondes?uvresAudiovisuelles,BacFilms,Ciné+,TatProductions,LogicalPictures,SACEM,RégionOccitanie/Pyrénées-Méditerranée,MasterFilms","No",89,2020-10-23,"2020","autumn","No"
"The True Adventures Of Wolfboy",78,"Yes",62,"PG-13","No","drama",NA,NA,"MartinKrejcí","BigIndiePictures,KPeriodMedia","No",88,2020-10-30,"2020","autumn",""
"Bad Hair",62,"Yes",43,"G","Yes","horror","comedy",NA,"JustinSimien","SightUnseenPictures","Yes",102,2020-10-23,"2020","autumn",""
"His House",100,"Yes",79,"G","Yes","mysteryandthriller","drama",NA,"RemiWeekes","NewRegencyPictures,BBCFilms",NA,90,2020-10-30,"2020","autumn",""
"After We Collided",17,"No",92,"R","No","drama","romance",NA,"RogerKumble","CalMaple,FrayedPagesEntertainment","No",107,2020-10-23,"2020","autumn","No"
"The Craft: Legacy",45,"No",35,"PG-13","No","fantasy","mysteryandthriller",NA,"ZoeListerJones","ColumbiaPictures,BlumhouseProductions,RedWagonEntertainment","Yes",97,2020-10-28,"2020","autumn",""
"Spell",45,"No",65,"R","No","mysteryandthriller","horror",NA,"MarkTonderai","GordonGray,KurtWimmer,MorrisChestnut,BrianWilkins","No",91,2020-10-30,"2020","autumn","No"
"Friendsgiving",24,"No",15,"R","No","other","comedy",NA,"NicolPaone","RedHourFilms,RheaFilms(II)","Yes",95,2020-10-23,"2020","autumn","No"
"Harry Chapin: When In Doubt, Do Something",100,"Yes",100,"G","Yes","music","documentary",NA,"RickKorn","InPlainViewEntertainment",NA,101,2020-10-16,"2020","autumn","No"
"Holidate",45,"No",46,"G","Yes","romance",NA,NA,"JohnWhitesell","WonderlandSoundandVision,Netflix","No",103,2020-10-28,"2020","autumn",""
"Borat: Subsequent Moviefilm",86,"Yes",69,"R","No","comedy",NA,NA,"JasonWoliner","MonicaLevinson","No",96,2020-10-23,"2020","autumn",""
"Sarah Cooper: Everything's Fine",63,"Yes",42,"G","Yes","comedy",NA,NA,"NatashaLyonne",NA,NA,101,2020-10-27,"2020","autumn",""
"Operation Christmas Drop",67,"Yes",51,"G","Yes","other","romance",NA,"MartinWood","BradKrevoy,StevenR.McGlothen","No",95,2020-11-05,"2020","autumn",""
"Kaali Khuhi",50,"No",25,"G","Yes","horror",NA,NA,"TerrieSamundra","Netflix,ManomayMotionPictures","No",90,2020-10-30,"2020","autumn",""
"Buddies",100,"Yes",42,"G","Yes","drama",NA,NA,"ArthurJ.BressanJr.","ArthurJ.BressanJr.",NA,81,1985-09-12,"1985","summer","No"
"Eternal Beauty",80,"Yes",80,"R","No","drama","comedy","romance","CraigRoberts","TheWellcomeTrust,BritishFilmInstitute,CliffEdgePictures,EndeavorContent","Yes",95,2020-10-02,"2020","autumn",""
"The Swerve",100,"Yes",73,"G","Yes","drama",NA,NA,"DeanKapsalis","SparkChamber","Yes",95,2020-09-22,"2020","summer",""
"The Glorias",68,"Yes",68,"R","No","biography","drama",NA,"JulieTaymor","ArtemisRisingFoundation,TheGlorias,PageFifty-FourPictures","No",139,2020-09-30,"2020","autumn",""
"Save Yourselves!",87,"Yes",60,"R","No","comedy",NA,NA,"AlexHustonFischer,EleanorWilson","KeshetStudios,WashingstonSquareFilms,LastRodeoStudios","Yes",93,2020-10-02,"2020","autumn","No"
"She's In Portland",64,"Yes",85,"G","Yes","drama","comedy",NA,"MarcCarlini","SlaterBrothersEntertainment,Tilt/ShiftFilms,SonoftheKnifeFilms","Yes",101,2020-09-25,"2020","autumn",""
"A Call To Spy",74,"Yes",95,"PG-13","No","history","drama",NA,"LydiaDeanPilcher","SMTPictures","No",124,2020-10-02,"2020","autumn","No"
"Sno Babies",25,"No",99,"G","Yes","drama",NA,NA,"BridgetSmith","BetterNoiseFilms,PhillyBornProductions,PhillyBornFilms","No",109,2020-09-29,"2020","autumn",""
"Death Of Me",33,"No",47,"R","No","horror","mysteryandthriller",NA,"DarrenBousman","DobreFilms,EnvisionMediaArts,13Films,BenetoneFilms,MediaFinanceCapital","No",94,2020-10-02,"2020","autumn","No"
"Hosts",82,"Yes",69,"G","Yes","horror",NA,NA,"AdamLeader,RichardOakes","Odin'sLight,DarkFableMedia","No",89,2020-10-02,"2020","autumn",""
"The Doorman",11,"No",32,"R","No","action","mysteryandthriller",NA,"RyûheiKitamura","DoubleDutchInternational","No",96,2020-10-08,"2020","autumn",""
"Then Came You",50,"No",60,"PG-13","No","romance",NA,NA,"AdrianaTrigiani","KathieLeeGifford,AdrianaTrigiani,MatthewT.Weiner","No",97,2020-09-30,"2020","autumn","No"
"The Phenomenon",86,"Yes",95,"G","Yes","documentary",NA,NA,"JamesFox",NA,NA,101,2020-10-06,"2020","autumn",""
"The Wolf Of Snow Hollow",89,"Yes",76,"R","No","horror","mysteryandthriller",NA,"JimCummings","VanishingAngle,NewForm","Yes",83,2020-10-09,"2020","autumn","No"
"Let's Scare Julie",40,"No",29,"G","Yes","horror","mysteryandthriller",NA,"JudCremata","BlitzFilms","Yes",83,2020-10-02,"2020","autumn",""
"Batman: Death In The Family",60,"Yes",47,"G","Yes","action","animation","drama","BrandonVietti",NA,"No",101,2020-10-13,"2020","autumn",""
"Lost Girls & Love Hotels",48,"No",44,"R","No","drama","romance",NA,"WilliamStenOlsson","Blackbird,WanderingTrailPictures","No",97,2020-09-18,"2020","summer","No"
"Mulan",74,"Yes",50,"PG-13","No","adventure","action",NA,"NikiCaro","WaltDisneyPictures","No",116,2020-09-04,"2020","summer",""
"The Garden Left Behind",92,"Yes",89,"G","Yes","drama",NA,NA,"FlavioAlves","RoyWol","No",88,2020-09-08,"2020","summer",""
"Measure For Measure",33,"No",80,"G","Yes","drama",NA,NA,"PaulIreland","ToothlessPictures",NA,107,2020-09-04,"2020","summer",""
"I Am Woman",64,"Yes",71,"G","Yes","biography","drama","music","UnjooMoon","GoalpostPictures,DeepBluePacific","No",117,2020-09-11,"2020","summer","No"
"Antebellum",28,"No",55,"R","No","mysteryandthriller",NA,NA,"GerardBush,ChristopherRenz","QCEntertainment,Lionsgate","Yes",106,2020-09-18,"2020","summer",""
"Teenage Badass",67,"Yes",100,"G","Yes","comedy",NA,NA,"GrantMcCord","CommonWallMedia","No",101,2020-09-18,"2020","summer",""
"Rent-A-Pal",67,"Yes",74,"G","Yes","mysteryandthriller",NA,NA,"JonStevenson","PrettyPeoplePictures","Yes",108,2020-09-11,"2020","summer","No"
"Red Shoes And The Seven Dwarfs",40,"No",80,"PG","No","action","animation",NA,"Sung-hoHong","Sidus,LocusCreativeStudios,WarnerBros.,NextEntertainmentWorld","Yes",92,2020-09-14,"2020","summer",""
"The Argument",71,"Yes",33,"G","Yes","comedy",NA,NA,"RobertSchwartzman","BeachwoodParkFilms,TheRanchProductions,SchwartzmanPictures","No",81,2020-09-04,"2020","summer","No"
"Up On The Glass",50,"No",100,"G","Yes","mysteryandthriller","drama",NA,"KevinDelPrincipe","SaveThemWildDogs","Yes",96,2020-09-08,"2020","summer",""
"Alone",94,"Yes",58,"R","No","mysteryandthriller",NA,NA,"JohnHyams","MillHouseMotionPictures,Paperclip","No",98,2020-09-18,"2020","summer","No"
"Range Runners",20,"No",80,"G","Yes","mysteryandthriller",NA,NA,"PhilipS.Plowden","FatalFunnelFilms","Yes",111,2020-09-07,"2020","summer",""
"The Owners",64,"Yes",31,"G","Yes","mysteryandthriller",NA,NA,"JuliusBerg","XYZFilms,BlueLight,WildBunch,LogicalPictures","No",92,2020-09-04,"2020","summer","No"
"No Escape (Follow Me)",20,"No",60,"R","No","horror","mysteryandthriller",NA,"WillWernick","EscapeProductions","Yes",91,2020-09-18,"2020","summer",""
"Cats & Dogs 3: Paws Unite!",14,"No",28,"PG","No","adventure","kidsandfamily","comedy","SeanMcNamara","WarnerBros.","No",84,2020-07-30,"2020","summer",""
"Murder In The Woods",82,"Yes",65,"R","No","horror","mysteryandthriller",NA,"LuisIga","RezinateEntertainment","No",90,2020-08-14,"2020","summer","No"
"Summerland",88,"Yes",82,"G","Yes","comedy",NA,NA,"KurtisDavidHarder,NoahKentis",NA,NA,101,2020-09-14,"2020","summer",""
"American Street Kid",83,"Yes",95,"G","Yes","documentary",NA,NA,"MichaelLeoni","An11:11Experience,SpareSomeChange",NA,104,2020-08-21,"2020","summer",""
"Bill & Ted Face The Music",82,"Yes",72,"PG-13","No","adventure","comedy","fantasy","DeanParisot","DuganEntertainment,TinResEntertainment,Dial9,HammerstoneStudios,LakeviewEntertainment(II)","No",91,2020-08-28,"2020","summer","Yes"
"Open 24 Hours",40,"No",41,"G","Yes","horror",NA,NA,"PadraigReynolds",NA,"Yes",97,2020-08-16,"2020","summer",""
"Cane River",100,"Yes",38,"G","Yes","romance",NA,NA,"HoraceJenkins","ZweitesDeutschesFernsehen","Yes",90,2020-07-06,"2020","summer",""
"Pariah Dog",100,"Yes",100,"G","Yes","documentary",NA,NA,"JesseAlk","JesseAlk",NA,77,2020-08-18,"2020","summer",""
"Children Of The Sea (Kaijû No Kodomo)",61,"Yes",63,"G","Yes","fantasy","adventure","animation","AyumuWatanabe","Studio4C",NA,110,2020-08-30,"2020","summer",""
"Tesla",60,"Yes",43,"PG-13","No","biography","history","drama","MichaelAlmereyda","IntrinsicValueFilms,PassagePictures,CampbellGrobmanFilms,RNGEntertainment,JeffRiceFilms","Yes",102,2020-08-19,"2020","summer","No"
"Bloody Nose, Empty Pockets",91,"Yes",83,"G","Yes","documentary",NA,NA,"BillRossIV,TurnerRoss","TheDepartmentofMotionPictures",NA,98,2020-09-01,"2020","summer",""
"Fatima",62,"Yes",94,"PG-13","No","history","drama",NA,"MarcoPontecorvo","RosePictures,OriginEntertainment,PanoramaFilms","No",113,2020-08-28,"2020","summer","No"
"Followed",71,"Yes",48,"R","No","horror",NA,NA,"AntoineLe","BrandedPicturesEntertainment,ViscapeArts","No",97,2020-06-19,"2020","spring","No"
"The Surrogate",92,"Yes",60,"G","Yes","drama",NA,NA,"JeremyHersh","TandemPictures,ResonantPictures","Yes",93,2020-06-12,"2020","spring",""
"One Night In Bangkok",20,"No",35,"R","No","action","mysteryandthriller",NA,"WychKaosayananda","GrindstoneEntertainmentGroup","Yes",105,2020-08-23,"2020","summer",""
"The Pale Door",51,"No",64,"G","Yes","horror","western",NA,"AaronB.Koontz","TitleMedia,PaperStreetPictures,BondItMediaCapital,StorytellerMedia","Yes",96,2020-08-21,"2020","summer","No"
"Tom Of Your Life",67,"Yes",80,"G","Yes","scifi","drama","comedy","JeremySklar","Satori!Studios","Yes",93,2020-09-01,"2020","summer","No"
"Hard Kill",0,"No",69,"R","No","action","mysteryandthriller",NA,"MattEskandari","SSSFilmCapital,RiverBayFilms,Emmett/Furla/OasisFilms,Buffalo8Productions,BondItMediaCapital,SSSEntertainment","No",95,2020-08-25,"2020","summer",""
"Immortal",88,"Yes",97,"G","Yes","drama","mysteryandthriller",NA,"RobMargolies",NA,NA,101,2020-09-01,"2020","summer",""
"Jazz On A Summer's Day",100,"Yes",81,"G","Yes","music","documentary",NA,"BertStern","GalaxyProductions(I),RavenFilms",NA,85,2020-08-12,"2020","summer",""
"Le Week-End",89,"Yes",56,"R","No","drama","comedy",NA,"RogerMichell","Film4,FreeRangeFilms","No",93,2014-03-14,"2014","winter","No"
"Sweet Bean (An)",84,"Yes",86,"G","Yes","drama","comedy",NA,"NaomiKawase","CommedesCinémas,NagoyaBroadcastingNetwork(NBN)","Yes",113,2016-03-18,"2016","winter","No"
"Carmen & Lola (Carmen Y Lola)",89,"Yes",59,"G","Yes","drama","romance",NA,"SabrinaFarji",NA,"No",87,NA,NA,NA,""
"Around The Sun",93,"Yes",80,"G","Yes","drama",NA,NA,"OliverKrimpas","Execution-DependentFilms","No",79,2020-08-04,"2020","summer",""
"Promare",97,"Yes",93,"PG-13","No","scifi","adventure","anime","HiroyukiImaishi","SanzigenAnimationStudio,Xflag,StudioTrigger","No",111,2019-09-20,"2019","summer","No"
"Waiting For The Barbarians",53,"No",64,"G","Yes","history","drama",NA,"CiroGuerra","IervolinoEntertainment,IthacaPictures","No",112,2020-08-07,"2020","summer",""
"Fagara (Huajiao Zhiwei)",100,"Yes",86,"G","Yes","drama",NA,NA,"HeiwardMak",NA,"Yes",122,2019-09-13,"2019","summer","No"
"The Secret Garden",64,"Yes",46,"PG","No","fantasy","drama",NA,"MarcMunden","HeydayFilms,StudioCanal","No",99,2020-08-07,"2020","summer",""
"Happy Happy Joy Joy: The Ren & Stimpy Story",78,"Yes",100,"G","Yes","documentary",NA,NA,"RonCicero,KimoEasterwood","Ladies&Gentlemen,Inc",NA,104,2020-08-14,"2020","summer",""
"Emperor",77,"Yes",67,"PG-13","No","history","biography","drama","MarkAmin","SobiniFilms,HudlinEntertainment","No",99,2020-08-18,"2020","summer",""
"I Used To Go Here",85,"Yes",50,"G","Yes","comedy",NA,NA,"KrisRey","SSSFilmCapital,PartyOverHere,YaleProductions,Buffalo8Productions,TenAcreFilms,BondItMediaCapital,SSSEntertainment","Yes",80,2020-08-07,"2020","summer",""
"The Tax Collector",19,"No",72,"G","Yes","crime","drama","mysteryandthriller","DavidAyer","FasterHorsePictures,CrossCreekPictures,KodiakPictures,CedarCreekProductions","Yes",95,2020-08-07,"2020","summer","No"
"The Bay Of Silence",50,"No",61,"G","Yes","mysteryandthriller",NA,NA,"PaulavanderOest","ImperativeEntertainment,SoWhatPictures",NA,80,2020-08-14,"2020","summer",""
"Monstrous",60,"Yes",38,"G","Yes","horror","mysteryandthriller",NA,"BruceWemple","377Films,TraverseTerror","No",86,2020-08-11,"2020","summer",""
"Pretending I'm A Superman: The Tony Hawk Video Game Story",100,"Yes",79,"G","Yes","documentary",NA,NA,"LudvigGür","RalphD'Amato",NA,80,2020-08-18,"2020","summer",""
"The American Nurse",100,"Yes",89,"G","Yes","documentary",NA,NA,"CarolynJones","LisaFrank","Yes",81,2017-04-16,"2017","spring",""
"House Of Hummingbird (Beolsae)",100,"Yes",63,"G","Yes","drama",NA,NA,"BoraKim","Epiphany,MassOrnamentFilms","Yes",138,2020-06-26,"2020","summer","No"
"Fisherman's Friends",68,"Yes",71,"PG-13","No","drama","comedy",NA,"ChrisFoggin","FredFilms,BondItMediaCapital,PowderkegPictures","No",112,2020-07-24,"2020","summer",""
"Babysplitters",69,"Yes",89,"G","Yes","comedy",NA,NA,"SamFriedlander","Route66Films,ThirdLawProductions","Yes",119,2020-07-23,"2020","summer",""
"Yes, God, Yes",94,"Yes",67,"R","No","comedy",NA,NA,"KarenMaine","MaidenVoyageFilms,RTFeatures","Yes",78,2020-07-24,"2020","summer","No"
"Ride Your Wave",93,"Yes",100,"G","Yes","anime","comedy",NA,"MasaakiYuasa",NA,NA,94,2020-08-04,"2020","summer",""
"Dead Dicks",100,"Yes",54,"G","Yes","horror",NA,NA,"ChrisBavota,LeePaulaSpringer",NA,NA,101,2020-07-28,"2020","summer",""
"Don't Be Nice",100,"Yes",86,"G","Yes","documentary",NA,NA,"MaxPowers","CoraAtkinson,NikhilMelnechuk",NA,96,2019-09-20,"2019","summer","No"
"Red Penguins",98,"Yes",100,"PG-13","No","documentary",NA,NA,"GabePolsky","NorddeutscherRundfunk(NDR)[de],StudioHamburgEnterprises(SHE),GabrielPolskyProductions",NA,80,2020-08-04,"2020","summer",""
"Gundala",83,"Yes",77,"G","Yes","scifi","action","adventure","JokoAnwar","ScreenplayFilms","Yes",123,2020-07-28,"2020","summer",""
"The Secret: Dare To Dream",29,"No",82,"PG","No","drama","romance",NA,"AndyTennant","ShineBoxMediaGroup,IlluminationProductions,TRIG,CovertMedia,SavvyMediaHoldings,RobertCortProductions","No",107,2020-07-31,"2020","summer",""
"Amulet",69,"Yes",42,"R","No","horror","mysteryandthriller",NA,"RomolaGarai","TriggerFilms,HeadGearFilms,MetrolTechnology,KreoFilmsFZ","Yes",99,2020-07-23,"2020","summer","No"
"Rebuilding Paradise",92,"Yes",80,"PG-13","No","documentary",NA,NA,"RonHoward","ImagineEntertainment,ImagineDocumentaries",NA,95,2020-07-31,"2020","summer",""
"Skin Walker",60,"Yes",0,"G","Yes","horror","mysteryandthriller",NA,"ChristianNeuman","CalachFilms,CaviarFilms","Yes",90,2020-07-24,"2020","summer","No"
"The Rental",75,"Yes",46,"R","No","horror","mysteryandthriller",NA,"DaveFranco","BlackBearPictures","No",88,2020-07-24,"2020","summer","No"
"Most Wanted",69,"Yes",47,"R","No","crime","drama","mysteryandthriller","DanielRoby","CaramelFilms,GoldrushEntertainment","Yes",125,2020-07-24,"2020","summer","No"
"Legacy Of Lies",86,"Yes",59,"R","No","action","mysteryandthriller",NA,"AdrianBol","AdrianBol","Yes",101,2020-07-26,"2020","summer",""
"The Big Ugly",41,"No",65,"R","No","crime","drama",NA,"ScottWiper","4GVision","Yes",106,2020-07-31,"2020","summer",""
"Deep Blue Sea 3",69,"Yes",38,"R","No","action","horror","scifi","JohnPogue","RoserockFilms","No",99,2020-07-05,"2020","summer",""
"Deathstroke: Knights & Dragons",80,"Yes",58,"TV14","No","adventure","action","animation","SungJinAhn",NA,NA,87,2020-07-05,"2020","summer",""
"Game Of Death",56,"No",23,"G","Yes","horror","mysteryandthriller",NA,"SébastienLandry,LaurenceMorais-Lagace","LesProductionsLaGuérilla,Rockzeline,Blackpills","No",73,2020-07-03,"2020","summer","No"
"Guest Artist",63,"Yes",40,"G","Yes","drama",NA,NA,"TimothyBusfield","GrandRiverProductions","No",74,2020-07-19,"2020","summer",""
"Family Romance, LLC",75,"Yes",70,"G","Yes","drama",NA,NA,"WernerHerzog","SkelligRock","Yes",89,2020-07-03,"2020","summer",""
"The Truth (La Vérité)",87,"Yes",68,"PG","No","drama",NA,NA,"HirokazuKoreeda","3BProductions,Bun-Buku","Yes",106,2020-07-01,"2020","summer",""
"The Painted Bird",81,"Yes",56,"G","Yes","drama",NA,NA,"VáclavMarhoul","PubRes,SilverScreenPartnersII","Yes",169,2020-07-15,"2020","summer","No"
"The Outpost",92,"Yes",83,"R","No","drama","war",NA,"RodLurie","YorkFilms,MillenniumMedia","No",123,2020-07-03,"2020","summer","No"
"Volition",88,"Yes",89,"G","Yes","scifi","mysteryandthriller",NA,"TonyDeanSmith","PalyProductions,SmithBrothersFilmCompany","No",91,2020-07-10,"2020","summer","No"
"Dirt Music",29,"No",55,"G","Yes","romance",NA,NA,"GregorJordan","PelgoFilms,WildgazeFilms,Film4,AquariusFilms","No",105,2020-07-17,"2020","summer",""
"First Cow",96,"Yes",56,"PG-13","No","drama","western",NA,"KellyReichardt","FilmScience","No",122,2020-03-06,"2020","winter","No"
"The Prince (El Principe)",92,"Yes",86,"G","Yes","drama",NA,NA,"SebastiánMuñoz",NA,NA,101,2020-07-07,"2020","summer",""
"Inmate #1: The Rise Of Danny Trejo",100,"Yes",100,"G","Yes","documentary",NA,NA,"BrettHarvey",NA,"No",110,2020-07-05,"2020","summer",""
"Relic",91,"Yes",48,"R","No","drama","horror",NA,"NatalieErikaJames","NineStoriesProductions,FilmVictoria,CarverFilms,ScreenAustralia,AGBO","No",89,2020-06-26,"2020","summer","No"
"Enter The Fat Dragon",64,"Yes",90,"G","Yes","action","comedy","sportsandfitness","TanigakiKenji","BonaFilmGroup,Mega-VisionPictures,BulletFilms","No",97,2020-02-14,"2020","winter","No"
"Archive",71,"Yes",69,"G","Yes","scifi",NA,NA,"GavinRothery","MetrolTechnology,Independent,HeadGearFilms,HeroSquared,Untapped","Yes",105,2020-07-10,"2020","summer","No"
"Blood Vessel",73,"Yes",21,"G","Yes","horror",NA,NA,NA,NA,NA,93,2020-07-16,"2020","summer",""
"I, Pastafari: A Flying Spaghetti Monster Story",75,"Yes",85,"G","Yes","documentary",NA,NA,"MichaelArthur","BreadBagBoot",NA,306,2020-07-07,"2020","summer","No"
"Mighty Oak",65,"Yes",88,"PG-13","No","drama","music","comedy","SeanMcNamara","Brookwell-McNamaraEntertainment","No",102,2020-06-05,"2020","spring","No"
"Money Plane",25,"No",46,"G","Yes","action","mysteryandthriller",NA,"AndrewLawrence","Dawn'sLight,Taylor&Dodge","Yes",82,2020-07-10,"2020","summer",""
"Useless Humans",40,"No",96,"G","Yes","scifi","comedy",NA,"StephenOhl","KinogoPictures","No",77,2020-07-12,"2020","summer","No"
"Never Too Late",50,"No",44,"G","Yes","drama","comedy",NA,"MarkLamprell","R&RFilms,McMahonInternationalPictures,ElevateProductionFinance","No",98,2020-07-10,"2020","summer",""
"Easy Does It",29,"No",79,"G","Yes","adventure","comedy",NA,"WillAddison","EFIproductions,ContessaProjects,WorklightPictures","Yes",97,2020-07-17,"2020","summer",""
"A Nice Girl Like You",11,"No",51,"R","No","romance",NA,NA,"ChrisRiedell","SPRMedia,CaliWoodPictures,AffirmativeEntertainment","No",94,2020-07-15,"2020","summer",""
"The Silencing",18,"No",90,"R","No","mysteryandthriller",NA,NA,"RobinPront","WildlingPictures,AnovaPictures,SilencingCanadaProductions,MadronaDrive","No",93,2020-07-16,"2020","summer","No"
"Viena And The Fantomes",20,"No",25,"R","No","music","drama","romance","GerardoNaranjo","SilverStateProductionServices,Verisimilitude","Yes",105,2020-06-30,"2020","summer",""
"Caniba",59,"No",33,"G","Yes","documentary",NA,NA,"VerenaParavel,LucienCastaing-Taylor","LucienCastaing-Taylor,VerenaParavel",NA,90,2018-10-19,"2018","autumn","No"
"The Ghost Of Peter Sellers",95,"Yes",64,"G","Yes","documentary",NA,NA,"PeterMedak","PaulIacovou",NA,93,2020-06-23,"2020","summer",""
"Beats",98,"Yes",74,"G","Yes","drama","comedy",NA,"BrianWelsh","RosettaProductions","No",101,2020-09-02,"2020","summer",""
"Zombie For Sale",89,"Yes",78,"G","Yes","",NA,NA,"LeeMin-jae",NA,NA,101,2020-07-01,"2020","summer",""
"Babyteeth",94,"Yes",84,"G","Yes","comedy","drama",NA,"ShannonMurphy","ScreenAustralia,WhitefalkFilms,CreateNSW","No",117,2020-06-18,"2020","spring",""
"Scare Package",80,"Yes",85,"G","Yes","horror","comedy",NA,"CourtneyAndujar","PaperStreetPictures","No",103,2020-06-19,"2020","spring",""
"John Lewis: Good Trouble",96,"Yes",71,"PG","No","documentary",NA,NA,"DawnPorter","AGCStudios,ColorFarmMedia,CNNFilms",NA,96,2020-07-03,"2020","summer","No"
"Miss Juneteenth",99,"Yes",58,"G","Yes","drama",NA,NA,"ChanningGodfreyPeoples","SailorBear,LeyLineEntertainment","Yes",103,2020-06-19,"2020","spring","No"
"Irresistible",40,"No",66,"R","No","comedy",NA,NA,"JonStewart","BusboyProductions,PlanBEntertainment","Yes",101,2020-06-26,"2020","summer","No"
"Ask No Questions",100,"Yes",86,"G","Yes","documentary",NA,NA,"JasonLoftus,EricPedicelli","JasonLoftus",NA,79,2020-06-28,"2020","summer",""
"Ghosts Of War",38,"No",44,"R","No","horror","mysteryandthriller",NA,"EricBress","MiscellaneousEntertainment","Yes",95,2020-06-18,"2020","spring",""
"I Am Vengeance: Retaliation",44,"No",23,"R","No","action",NA,NA,"RossBoyask","EvolutionaryFilmProductions","Yes",90,2020-06-19,"2020","spring",""
"Four Kids And It",50,"No",19,"PG","No","fantasy",NA,NA,"AndyDeEmmony","DanFilms,KindleEntertainment,DeadpanPictures","No",110,2020-06-30,"2020","summer","No"
"Two Heads Creek",90,"Yes",69,"G","Yes","horror","comedy",NA,"JesseO'Brien","JayneChard,JuddTilyard",NA,85,2020-06-26,"2020","summer",""
"Manchild: The Schea Cotton Story",100,"Yes",100,"G","Yes","documentary","sportsandfitness",NA,"Eric""Ptah""Herbert",NA,NA,74,NA,NA,NA,""
"Force Of Nature",9,"No",19,"R","No","mysteryandthriller","action",NA,"MichaelPolish","Ingenious,Emmett/Furla/OasisFilms,Pimienta,WayDownEastProductions,SSSEntertainment,RiverBayFilms,GrindstoneEntertainmentGroup,ForceofNatureFilm,FONFilmProduction","No",91,2020-06-30,"2020","summer","No"
"Run With The Hunted",0,"No",40,"G","Yes","crime","drama","mysteryandthriller","JohnSwab","WingandaPrayerPictures,SalemStreetEntertainment,RoxwellFilms,ElRideProductions,BondItMediaCapital,TitleMedia",NA,93,2020-06-26,"2020","summer",""
"Feel The Beat",47,"No",57,"G","Yes","drama",NA,NA,"ElissaDown","ResonantEntertainment,BitterBoyProductionsLtd.","No",109,2020-06-22,"2020","spring",""
"Aquaslash",29,"No",27,"G","Yes","horror",NA,NA,"RenaudGauthier",NA,"Yes",71,2020-06-23,"2020","summer","No"
"You Should Have Left",40,"No",23,"R","No","horror","mysteryandthriller",NA,"DavidKoepp","BlumhouseProductions","Yes",93,2020-06-19,"2020","spring",""
"Burden",51,"No",97,"G","Yes","drama",NA,NA,"AndrewHeckler","TheFirm","Yes",129,2020-02-28,"2020","winter","No"
"What She Said: The Art Of Pauline Kael",88,"Yes",52,"G","Yes","documentary",NA,NA,"RobGarver","29Pictures",NA,95,2019-12-25,"2019","winter","No"
"Knives Out",97,"Yes",92,"PG-13","No","comedy","drama","mysteryandthriller","RianJohnson","FilmNationEntertainment,MediaRightsCapital","Yes",130,2019-11-27,"2019","autumn","Yes"
"Judy & Punch",77,"Yes",60,"G","Yes","comedy",NA,NA,"MirrahFoulkes","SeasideProductions,Soundfirm,CreateNSW,ScreenAustralia,PariahProductions,FilmVictoria,ViceMedia,Blue-TongueFilms,SamuelGoldwynFilms","Yes",105,2020-06-04,"2020","spring","No"
"The Short History Of The Long Road",91,"Yes",88,"G","Yes","drama",NA,NA,"AniSimon-Kennedy","AstuteFilms,RelicPictures,HuaWenMovieGroup","Yes",90,2020-05-15,"2020","spring","No"
"You Don't Nomi",88,"Yes",60,"G","Yes","documentary",NA,NA,"JeffreyMcHale","GradeFiveFilms,XYZFilms",NA,92,2020-06-09,"2020","spring",""
"Tommaso",78,"Yes",22,"G","Yes","drama",NA,NA,"AbelFerrara","WashingtonSquareFilms,Simila(r),VivoFilm,FaliroHouse","Yes",115,2020-06-05,"2020","spring","No"
"Driven",71,"Yes",67,"G","Yes","horror","comedy",NA,"GlennPayne","DeadLeafProductions","No",90,2019-02-09,"2019","winter","No"
"Exit Plan (Selvmords Turisten)",38,"No",33,"G","Yes","mysteryandthriller","drama",NA,"JonasAlexanderArnby","DCMProductions,GarageFilmAB,DetDanskeFilminstitut,MerFilm,ZDF/Arte,Snowglobe,FilmiVäst,Charades","No",90,2020-06-12,"2020","spring","No"
"Shirley",88,"Yes",55,"R","No","drama","mysteryandthriller",NA,"JosephineDecker","KillerFilms,MechanismDigital,LosAngelesMediaFund","No",107,2020-06-04,"2020","spring","No"
